date,subscribers,open_issues,downloads_total,downloads_app,downloads_updates
2026-09-01,1,18,1802,,
2026-09-02,1,18,1845,323,1522
2026-09-03,1,6,2240,440,1800
2026-09-04,1,6,2550,525,2025
2026-09-05,1,8,2771,586,2185
2026-09-06,1,10,2940,617,2323
2026-09-07,1,7,3141,663,2478
2026-09-08,1,4,3305,699,2606
2026-09-09,1,7,3545,762,2783
2026-09-10,1,9,3742,802,2940
2026-09-11,1,14,3951,846,3105
2026-09-12,1,14,4140,881,3259
2026-09-13,1,16,4298,910,3388
2026-09-14,1,18,4523,940,3583
2026-09-15,2,11,4848,1014,3834
2026-09-16,2,11,5083,1046,4037
2026-09-17,2,11,5280,1062,4218
2026-09-18,2,11,5450,1081,4369
2026-09-19,2,11,5650,1108,4542
2026-09-20,2,13,5834,1131,4703
2026-09-21,1,9,6231,1207,5024
2026-09-22,1,9,6562,1267,5295
2026-09-23,1,11,7034,1379,5655
2026-09-24,2,33,7493,1481,6012
2026-09-25,2,36,7946,1590,6356
